iter	MultiClass
0	2.102611267
1	1.965556318
2	1.858972661
3	1.771024747
4	1.696941368
5	1.633634877
6	1.579049254
7	1.526763309
8	1.477231983
9	1.437376266
10	1.40175881
11	1.36695455
12	1.335391018
13	1.305643725
14	1.276659604
15	1.248563412
16	1.223417282
17	1.202090288
18	1.180967432
19	1.162207708
20	1.144095441
21	1.124952926
22	1.107963636
23	1.092401764
24	1.078801981
25	1.066145573
26	1.052010001
27	1.040867024
28	1.028388667
29	1.017090628
30	1.006131728
31	0.9955342683
32	0.9860355051
33	0.9762230007
34	0.9669782267
35	0.9569995532
36	0.9494485853
37	0.940943307
38	0.9334925573
39	0.9273302642
40	0.9201099127
41	0.9129744539
42	0.9064031953
43	0.9000546722
44	0.8937954328
45	0.8869274805
46	0.8811145732
47	0.8752985664
48	0.8710306879
49	0.8654380193
50	0.8609934677
51	0.8557775641
52	0.8514823925
53	0.8467714537
54	0.8423726201
55	0.8386716971
56	0.8340660561
57	0.8298369218
58	0.8262571386
59	0.8226897536
60	0.8194433419
61	0.8164577211
62	0.8130402327
63	0.8102924147
64	0.8068006237
65	0.8042210411
66	0.8017660424
67	0.7985730976
68	0.7960183974
69	0.7938128246
70	0.7914657928
71	0.7892900961
72	0.786893644
73	0.7847214772
74	0.7821218339
75	0.7803051658
76	0.7789661695
77	0.776924183
78	0.7746397444
79	0.7726944459
80	0.7707574989
81	0.7693454054
82	0.7681030111
83	0.7669625568
84	0.7651897127
85	0.7628712654
86	0.7610856787
87	0.7596902882
88	0.7576793831
89	0.7560648731
90	0.7545375805
91	0.7534634217
92	0.752001133
93	0.7512654255
94	0.7496078666
95	0.748460955
96	0.7474559329
97	0.7461321759
98	0.7452564731
99	0.7440729698
100	0.7428120644
101	0.7418134997
102	0.7402787165
103	0.7390796295
104	0.7375912531
105	0.7369311397
106	0.7359005465
107	0.7350790853
108	0.7337438774
109	0.7329311121
110	0.7322111605
111	0.7308712172
112	0.7298864281
113	0.7291919615
114	0.7282292997
115	0.7271284505
116	0.726463085
117	0.7259779227
118	0.7253313267
119	0.7242085225
120	0.7229739631
121	0.7219809947
122	0.7210317641
123	0.7198531684
124	0.7190676102
125	0.7183930753
126	0.7178331369
127	0.7167006897
128	0.7158938653
129	0.715023113
130	0.7144936963
131	0.7135365878
132	0.7130174598
133	0.7119082591
134	0.7111230453
135	0.7098981288
136	0.7088320202
137	0.7077658255
138	0.7071308526
139	0.7066894281
140	0.7058024464
141	0.7049076728
142	0.7045131287
143	0.7039361428
144	0.7034181341
145	0.7025886659
146	0.7020682895
147	0.7011000743
148	0.700578923
149	0.6996466968
150	0.698800009
151	0.6982696452
152	0.6980052813
153	0.6972818858
154	0.6966553936
155	0.6959660068
156	0.6953965976
157	0.6945582182
158	0.6941043095
159	0.6938018041
160	0.6935050242
161	0.6930393201
162	0.6926407294
163	0.691915698
164	0.6914517158
165	0.690955533
166	0.6902419526
167	0.6898431466
168	0.6892771383
169	0.6887635206
170	0.6881523108
171	0.6877438619
172	0.6871549945
173	0.686477317
174	0.6859514734
175	0.6853793952
176	0.6850025872
177	0.6846971545
178	0.6843998151
179	0.6841811692
180	0.6836989342
181	0.6830408871
182	0.682448748
183	0.6817479963
184	0.6810787564
185	0.6804897599
186	0.6801082166
187	0.6795980859
188	0.6791456839
189	0.6787338771
190	0.6784826
191	0.6782907737
192	0.6778051809
193	0.6773383574
194	0.6768030861
195	0.6763323022
196	0.6760231242
197	0.6757526473
198	0.6755733912
199	0.675184013
200	0.6745543782
201	0.6741689174
202	0.6738698129
203	0.6735629596
204	0.6731457717
205	0.672849164
206	0.6723338674
207	0.6721461307
208	0.6716036271
209	0.6711402476
210	0.6705744115
211	0.6704036361
212	0.6700924779
213	0.6699093474
214	0.6695381789
215	0.669009494
216	0.6685094368
217	0.6681910894
218	0.6677529366
219	0.6672278679
220	0.6667926424
221	0.6665962528
222	0.6662049804
223	0.6654384929
224	0.6650884184
225	0.6646995997
226	0.6641202462
227	0.6636698245
228	0.6633536295
229	0.6630079029
230	0.6624460273
231	0.6618585806
232	0.6613577054
233	0.6607815805
234	0.6605810583
235	0.660284795
236	0.6597706177
237	0.6595266159
238	0.6589623726
239	0.6586565524
240	0.65826881
241	0.6580585587
242	0.6577342275
243	0.657382431
244	0.65708987
245	0.6567077239
246	0.6562686241
247	0.6558603904
248	0.6555875888
249	0.6553688138
250	0.6549699217
251	0.6545941899
252	0.6541397646
253	0.6538955046
254	0.6533922186
255	0.6530591485
256	0.6524954648
257	0.6522710073
258	0.6519697503
259	0.6517019425
260	0.6513922049
261	0.6510580154
262	0.6508110863
263	0.6506053551
264	0.6500543278
265	0.6497183304
266	0.649247202
267	0.6489668669
268	0.648499656
269	0.6479606825
270	0.647738894
271	0.6473107716
272	0.6469866126
273	0.6465586194
274	0.6462379904
275	0.6459360016
276	0.6455707739
277	0.6452199675
278	0.6448758768
279	0.6445378991
280	0.6438325411
281	0.6436500564
282	0.6429415989
283	0.6426218739
284	0.6422475628
285	0.6418909879
286	0.6415582621
287	0.6412640221
288	0.6410062877
289	0.6405213837
290	0.6402070399
291	0.6398729796
292	0.6395122289
293	0.639157419
294	0.6389283553
295	0.6385348443
296	0.6381655269
297	0.6378334468
298	0.637634173
299	0.6373612423
300	0.6369635986
301	0.6366559274
302	0.6362768809
303	0.6359408834
304	0.6356076841
305	0.6353570528
306	0.6348568233
307	0.6346631889
308	0.6344064446
309	0.6341387228
310	0.6339468534
311	0.6337545535
312	0.6332834682
313	0.6328026108
314	0.6326145297
315	0.6324216271
316	0.6321043129
317	0.6318266468
318	0.6316721439
319	0.6314563823
320	0.6311806965
321	0.6307214927
322	0.6305491245
323	0.6302532056
324	0.6295064776
325	0.6290971246
326	0.6288627227
327	0.6284483761
328	0.6278960573
329	0.6275861475
330	0.6273999175
331	0.6268542283
332	0.6265062202
333	0.6260023746
334	0.6257294008
335	0.6255516084
336	0.6253617193
337	0.6251491863
338	0.6249746657
339	0.624703543
340	0.6244807214
341	0.6242517437
342	0.6239488509
343	0.6236806986
344	0.623424514
345	0.6232059111
346	0.6228269507
347	0.6225795912
348	0.6223878939
349	0.6221072575
350	0.6218126731
351	0.6215427128
352	0.621255662
353	0.6210320655
354	0.6208240957
355	0.620324512
356	0.6201651876
357	0.6200009987
358	0.6195448515
359	0.6193332656
360	0.6191945187
361	0.6189625706
362	0.6187227876
363	0.6185146027
364	0.6181315956
365	0.6178774343
366	0.6175067393
367	0.6172652344
368	0.6168589379
369	0.6166383117
370	0.6162514303
371	0.6160088492
372	0.6155383666
373	0.6151422727
374	0.614795599
375	0.614585606
376	0.6144447066
377	0.6141717759
378	0.6138093032
379	0.6135247493
380	0.6132485469
381	0.612824385
382	0.6125788765
383	0.61214533
384	0.6118692567
385	0.611714883
386	0.6112848234
387	0.6109005249
388	0.6107288455
389	0.6102464814
390	0.609738417
391	0.6092922141
392	0.6091920821
393	0.6090919931
394	0.6089270724
395	0.608707953
396	0.6084498742
397	0.6082722109
398	0.6080721191
399	0.6076703428
