iter	Passed	Remaining
0	17	8525
1	31	7938
2	48	8083
3	63	7869
4	80	7958
5	96	7953
6	114	8038
7	128	7924
8	145	7911
9	161	7914
10	178	7944
11	194	7899
12	213	8004
13	228	7924
14	246	7985
15	261	7923
16	278	7909
17	292	7844
18	306	7765
19	324	7783
20	338	7713
21	357	7759
22	370	7678
23	386	7670
24	400	7608
25	417	7605
26	431	7566
27	447	7549
28	461	7491
29	473	7422
30	491	7439
31	505	7394
32	522	7399
33	536	7355
34	552	7335
35	567	7310
36	582	7294
37	597	7269
38	613	7252
39	627	7215
40	639	7160
41	657	7172
42	671	7134
43	688	7130
44	701	7089
45	716	7075
46	730	7044
47	748	7046
48	762	7019
49	778	7004
50	792	6980
51	805	6939
52	822	6935
53	834	6894
54	850	6878
55	864	6857
56	880	6843
57	894	6815
58	912	6817
59	925	6789
60	937	6745
61	953	6736
62	966	6707
63	982	6691
64	997	6674
65	1013	6663
66	1027	6638
67	1044	6633
68	1059	6615
69	1072	6585
70	1087	6573
71	1099	6536
72	1116	6533
73	1132	6517
74	1147	6505
75	1161	6477
76	1177	6467
77	1190	6442
78	1203	6411
79	1222	6418
80	1236	6394
81	1251	6377
82	1265	6355
83	1282	6353
84	1299	6343
85	1316	6337
86	1332	6324
87	1348	6313
88	1363	6298
89	1380	6290
90	1394	6267
91	1410	6253
92	1424	6232
93	1435	6198
94	1451	6186
95	1465	6167
96	1481	6154
97	1495	6134
98	1509	6114
99	1524	6098
100	1536	6071
101	1553	6061
102	1565	6034
103	1580	6018
104	1596	6007
105	1610	5984
106	1623	5962
107	1634	5933
108	1651	5924
109	1664	5901
110	1678	5883
111	1694	5871
112	1711	5862
113	1724	5840
114	1737	5816
115	1757	5816
116	1770	5795
117	1785	5781
118	1799	5759
119	1817	5755
120	1832	5738
121	1847	5723
122	1860	5702
123	1876	5689
124	1889	5668
125	1901	5642
126	1917	5630
127	1932	5616
128	1947	5601
129	1963	5588
130	1977	5570
131	1991	5551
132	2006	5536
133	2019	5515
134	2031	5492
135	2051	5490
136	2066	5475
137	2085	5469
138	2097	5447
139	2113	5433
140	2127	5417
141	2144	5406
142	2158	5388
143	2174	5375
144	2187	5355
145	2202	5339
146	2220	5331
147	2233	5312
148	2251	5303
149	2265	5285
150	2280	5270
151	2292	5248
152	2306	5230
153	2319	5211
154	2332	5191
155	2349	5181
156	2363	5164
157	2380	5153
158	2394	5135
159	2409	5120
160	2422	5100
161	2433	5077
162	2450	5067
163	2464	5049
164	2482	5039
165	2495	5021
166	2512	5010
167	2526	4991
168	2543	4980
169	2556	4962
170	2571	4946
171	2584	4928
172	2597	4909
173	2614	4899
174	2629	4882
175	2646	4872
176	2660	4854
177	2674	4837
178	2688	4820
179	2698	4797
180	2713	4783
181	2729	4769
182	2745	4755
183	2759	4739
184	2778	4730
185	2792	4713
186	2807	4699
187	2821	4682
188	2833	4662
189	2849	4649
190	2861	4629
191	2876	4614
192	2890	4598
193	2906	4585
194	2922	4570
195	2938	4557
196	2951	4539
197	2964	4521
198	2978	4505
199	2992	4488
200	3007	4474
201	3021	4458
202	3032	4437
203	3049	4425
204	3061	4406
205	3077	4391
206	3092	4376
207	3106	4360
208	3120	4344
209	3139	4335
210	3153	4319
211	3164	4299
212	3181	4287
213	3192	4266
214	3209	4255
215	3224	4239
216	3240	4226
217	3254	4209
218	3270	4196
219	3286	4182
220	3297	4163
221	3313	4149
222	3326	4132
223	3344	4120
224	3358	4104
225	3373	4090
226	3389	4076
227	3407	4065
228	3422	4049
229	3437	4035
230	3450	4018
231	3463	4000
232	3480	3987
233	3496	3974
234	3512	3961
235	3523	3942
236	3538	3926
237	3551	3909
238	3568	3896
239	3582	3881
240	3596	3865
241	3613	3852
242	3625	3834
243	3643	3822
244	3657	3806
245	3673	3792
246	3688	3778
247	3704	3763
248	3717	3747
249	3731	3731
250	3747	3717
251	3760	3701
252	3777	3687
253	3790	3671
254	3808	3658
255	3822	3643
256	3841	3631
257	3855	3616
258	3871	3602
259	3885	3586
260	3902	3573
261	3917	3558
262	3930	3541
263	3945	3527
264	3959	3511
265	3975	3497
266	3991	3483
267	4006	3468
268	4020	3452
269	4039	3440
270	4052	3424
271	4069	3411
272	4082	3394
273	4095	3378
274	4111	3364
275	4123	3346
276	4139	3332
277	4154	3317
278	4170	3303
279	4182	3286
280	4201	3274
281	4214	3258
282	4229	3243
283	4246	3229
284	4258	3212
285	4274	3198
286	4288	3182
287	4304	3168
288	4317	3152
289	4334	3138
290	4348	3123
291	4366	3110
292	4380	3094
293	4393	3078
294	4410	3064
295	4424	3049
296	4440	3035
297	4453	3018
298	4467	3003
299	4482	2988
300	4498	2974
301	4512	2958
302	4525	2942
303	4541	2927
304	4555	2912
305	4571	2898
306	4586	2883
307	4602	2868
308	4615	2853
309	4631	2838
310	4647	2824
311	4658	2807
312	4677	2794
313	4693	2779
314	4709	2766
315	4722	2749
316	4739	2736
317	4754	2721
318	4770	2706
319	4783	2690
320	5012	2794
321	5035	2783
322	5056	2770
323	5088	2763
324	5122	2758
325	5155	2751
326	5187	2744
327	5219	2736
328	5251	2729
329	5284	2722
330	5315	2714
